adults,children,stays_in_weekend_nights,stays_in_week_nights,meal,required_car_parking_spaces,reserved_room_type,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,market_segment,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,adr,total_of_special_requests,reservation_status,faixa_preco
2,0.0,2,5,BB,0,A,107,2015,July,2,Online TA,0,0,0,110.7,2,Check-Out,Premium
2,2.0,2,5,BB,0,G,47,2015,July,2,Online TA,0,0,0,153.0,0,Canceled,Luxo
2,0.0,2,5,BB,0,A,96,2015,July,2,Offline TA/TO,0,0,0,58.95,1,Check-Out,Econômica
2,0.0,2,5,BB,0,E,113,2015,July,2,Offline TA/TO,0,0,0,82.88,2,Check-Out,Padrão
2,0.0,2,5,HB,0,A,90,2015,July,2,Offline TA/TO,0,0,0,82.35,0,Check-Out,Padrão
2,0.0,2,5,HB,0,E,50,2015,July,2,Online TA,0,0,0,119.35,1,Check-Out,Premium
2,0.0,2,5,BB,0,D,113,2015,July,2,Offline TA/TO,0,0,0,67.58,2,Check-Out,Econômica
2,0.0,0,1,BB,1,A,3,2015,July,2,Online TA,0,0,0,88.2,0,Check-Out,Padrão
2,0.0,0,1,BB,1,H,1,2015,July,2,Online TA,0,0,0,147.0,0,Check-Out,Luxo
2,2.0,0,1,BB,1,C,1,2015,July,2,Direct,0,0,0,107.0,2,Check-Out,Premium
2,0.0,0,1,BB,0,H,0,2015,July,2,Direct,0,0,0,147.0,0,Check-Out,Luxo
2,0.0,0,1,BB,0,A,0,2015,July,2,Online TA,0,0,0,117.9,2,Check-Out,Premium
2,0.0,0,1,BB,0,G,0,2015,July,2,Direct,0,0,0,123.0,0,Check-Out,Premium
2,0.0,0,2,BB,0,A,14,2015,July,2,Online TA,0,0,0,98.0,1,Check-Out,Padrão
2,0.0,0,2,BB,0,G,10,2015,July,2,Online TA,0,0,0,117.81,0,Check-Out,Premium
2,0.0,0,2,BB,1,E,5,2015,July,2,Online TA,0,0,0,135.0,2,Check-Out,Luxo
2,0.0,0,3,BB,0,F,17,2015,July,2,Direct,0,0,0,133.0,1,Check-Out,Premium
2,0.0,0,3,BB,0,A,93,2015,July,2,Offline TA/TO,0,0,0,58.95,0,Check-Out,Econômica
2,0.0,0,3,HB,0,A,3,2015,July,2,Online TA,0,0,0,136.33,2,Canceled,Luxo
2,2.0,0,2,BB,1,G,10,2015,July,3,Online TA,0,0,0,153.0,0,Check-Out,Luxo
2,0.0,0,2,BB,0,A,3,2015,July,3,Online TA,0,0,0,110.5,0,Check-Out,Premium
2,0.0,0,2,BB,0,D,51,2015,July,3,Online TA,0,0,0,97.0,0,Check-Out,Padrão
3,0.0,0,2,BB,0,A,71,2015,July,3,Offline TA/TO,0,0,0,110.3,2,Canceled,Premium
2,0.0,0,2,BB,0,A,63,2015,July,3,Online TA,0,0,0,82.0,2,Canceled,Padrão
2,0.0,0,2,BB,0,D,62,2015,July,3,Online TA,0,0,0,97.0,1,Canceled,Padrão
2,0.0,0,2,BB,0,A,101,2015,July,3,Online TA,0,0,0,73.8,1,Canceled,Econômica
2,0.0,0,2,HB,0,A,2,2015,July,3,Offline TA/TO,0,0,0,91.5,0,Check-Out,Padrão
2,0.0,0,2,BB,0,A,15,2015,July,3,Online TA,0,0,0,114.5,0,Check-Out,Premium
3,0.0,0,2,BB,0,A,51,2015,July,3,Online TA,0,0,0,110.3,0,Canceled,Premium
2,0.0,1,2,BB,1,A,3,2015,July,3,Online TA,0,0,0,90.9,0,Check-Out,Padrão
2,0.0,1,2,BB,0,E,48,2015,July,3,Online TA,0,0,0,123.0,0,Canceled,Premium
1,0.0,2,2,BB,0,A,2,2015,July,3,Online TA,0,0,0,122.0,0,Check-Out,Premium
2,0.0,2,2,BB,1,A,72,2015,July,3,Offline TA/TO,0,0,0,110.7,0,Check-Out,Premium
3,0.0,2,6,BB,0,D,81,2015,July,3,Offline TA/TO,0,0,0,85.86,0,Check-Out,Padrão
2,0.0,0,1,BB,0,A,12,2015,July,3,Online TA,0,0,0,73.8,0,Check-Out,Econômica
2,0.0,0,1,BB,1,A,9,2015,July,3,Online TA,0,0,0,98.0,2,Check-Out,Padrão
2,0.0,0,1,BB,0,A,1,2015,July,3,Online TA,0,0,0,131.0,1,Check-Out,Premium
2,0.0,0,1,BB,0,E,21,2015,July,3,Online TA,0,0,0,123.0,0,Check-Out,Premium
2,0.0,0,1,BB,0,C,9,2015,July,3,Online TA,0,0,0,94.71,0,Check-Out,Padrão
2,0.0,0,1,BB,0,A,109,2015,July,3,Online TA,0,0,0,123.0,2,Check-Out,Premium
2,0.0,0,2,BB,0,A,109,2015,July,3,Online TA,0,0,0,123.0,1,Canceled,Premium
2,0.0,0,2,BB,0,A,72,2015,July,3,Online TA,0,0,0,73.8,1,Canceled,Econômica
2,0.0,2,5,BB,0,F,63,2015,July,3,Online TA,0,0,0,117.0,1,Canceled,Premium
3,0.0,2,5,HB,0,E,63,2015,July,3,Offline TA/TO,0,0,0,196.54,1,Check-Out,Luxo
2,1.0,2,5,BB,1,D,101,2015,July,3,Online TA,0,0,0,99.3,2,Check-Out,Premium
2,0.0,2,5,BB,0,E,102,2015,July,3,Direct,0,0,0,90.95,0,Check-Out,Padrão
2,0.0,2,1,BB,0,A,4,2015,July,4,Direct,0,0,0,92.67,1,Check-Out,Padrão
2,0.0,2,1,BB,1,D,98,2015,July,4,Offline TA/TO,0,0,0,71.55,0,Check-Out,Econômica
1,2.0,2,4,BB,0,F,92,2015,July,4,Offline TA/TO,0,0,0,96.49,2,Check-Out,Padrão
2,0.0,2,4,BB,1,A,95,2015,July,4,Online TA,0,0,0,85.8,2,Check-Out,Padrão
2,0.0,2,5,BB,0,E,102,2015,July,4,Online TA,0,0,0,96.3,1,Check-Out,Padrão
2,2.0,2,5,BB,0,H,26,2015,July,4,Online TA,0,0,0,163.0,0,Canceled,Luxo
3,0.0,2,5,HB,0,D,73,2015,July,4,Direct,0,0,0,172.0,1,Canceled,Luxo
2,0.0,2,5,BB,0,A,102,2015,July,4,Online TA,0,0,0,110.7,1,Canceled,Premium
2,0.0,2,5,BB,0,A,115,2015,July,4,Offline TA/TO,0,0,0,58.95,1,Check-Out,Econômica
2,0.0,2,5,BB,0,A,102,2015,July,4,Online TA,0,0,0,73.8,2,Check-Out,Econômica
2,0.0,2,5,BB,0,D,86,2015,July,4,Online TA,0,0,0,97.0,2,Check-Out,Padrão
2,0.0,2,5,HB,0,E,78,2015,July,4,Online TA,0,0,0,139.0,2,Check-Out,Luxo
2,0.0,2,5,BB,0,A,52,2015,July,4,Online TA,0,0,0,67.24,0,Check-Out,Econômica
3,0.0,2,6,BB,0,E,29,2015,July,4,Online TA,0,0,0,116.5,1,Check-Out,Premium
2,0.0,2,6,BB,0,E,101,2015,July,4,Online TA,0,0,0,96.3,1,Canceled,Padrão
2,0.0,2,6,BB,0,A,109,2015,July,4,Online TA,0,0,0,123.0,1,Check-Out,Premium
2,0.0,4,6,BB,0,D,92,2015,July,4,Offline TA/TO,0,0,0,71.55,1,Check-Out,Econômica
2,0.0,4,6,BB,0,D,92,2015,July,4,Offline TA/TO,0,0,0,71.55,1,Check-Out,Econômica
2,1.0,4,6,HB,0,D,79,2015,July,4,Direct,0,0,0,149.0,1,Check-Out,Luxo
2,2.0,0,1,BB,1,H,2,2015,July,4,Online TA,0,0,0,163.0,0,Check-Out,Luxo
2,0.0,0,1,BB,0,D,30,2015,July,4,Offline TA/TO,0,0,0,79.5,0,Check-Out,Padrão
1,0.0,0,1,HB,0,A,51,2015,July,4,Online TA,0,0,0,105.0,0,Canceled,Premium
1,0.0,0,1,BB,0,E,36,2015,July,4,Direct,0,0,0,123.0,0,No-Show,Premium
2,0.0,0,1,BB,0,A,73,2015,July,4,Online TA,0,0,0,73.8,2,Canceled,Econômica
2,0.0,0,1,BB,0,D,33,2015,July,4,Online TA,0,0,0,113.0,0,Canceled,Premium
2,0.0,0,1,BB,0,E,8,2015,July,4,Online TA,0,0,0,123.0,0,Check-Out,Premium
2,0.0,1,1,BB,1,A,100,2015,July,4,Online TA,0,0,0,73.8,1,Check-Out,Econômica
2,0.0,1,1,BB,0,A,1,2015,July,4,Online TA,0,0,0,114.5,0,Check-Out,Premium
2,0.0,1,1,BB,0,A,100,2015,July,4,Online TA,0,0,0,73.8,2,Check-Out,Econômica
2,0.0,1,1,BB,0,A,100,2015,July,4,Online TA,0,0,0,73.8,1,Check-Out,Econômica
2,0.0,1,0,BB,0,A,9,2015,July,5,Online TA,0,0,0,88.2,1,Check-Out,Padrão
2,0.0,1,0,BB,0,D,5,2015,July,5,Online TA,0,0,0,97.0,0,Canceled,Padrão
2,0.0,1,0,BB,0,A,0,2015,July,5,Online TA,0,0,0,85.1,0,Check-Out,Padrão
1,0.0,1,0,BB,0,A,9,2015,July,5,Online TA,0,0,0,89.0,0,Check-Out,Padrão
1,0.0,1,0,BB,0,A,2,2015,July,5,Online TA,0,0,0,80.1,0,Check-Out,Padrão
2,0.0,1,0,BB,0,A,2,2015,July,5,Online TA,0,0,0,98.0,0,Check-Out,Padrão
1,0.0,1,0,BB,1,A,9,2015,July,5,Online TA,0,0,0,101.0,0,Check-Out,Premium
2,0.0,1,0,BB,0,G,2,2015,July,5,Direct,0,0,0,167.0,1,Check-Out,Luxo
3,0.0,2,0,HB,2,G,44,2015,July,5,Online TA,0,0,0,225.0,0,Check-Out,Luxo
2,0.0,2,0,BB,1,D,80,2015,July,5,Online TA,0,0,0,97.0,0,Check-Out,Padrão
2,0.0,2,2,BB,0,D,97,2015,July,5,Online TA,0,0,0,87.3,2,Check-Out,Padrão
2,1.0,2,3,BB,1,A,109,2015,July,5,Offline TA/TO,0,0,0,85.59,2,Check-Out,Padrão
2,0.0,2,3,BB,0,E,30,2015,July,5,Online TA,0,0,0,123.0,0,Check-Out,Premium
2,0.0,2,3,BB,0,E,64,2015,July,5,Online TA,0,0,0,107.0,0,Check-Out,Premium
2,0.0,2,4,BB,0,H,39,2015,July,5,Online TA,0,0,0,163.0,0,Check-Out,Luxo
2,0.0,2,4,BB,0,A,90,2015,July,5,Online TA,0,0,0,82.0,0,Check-Out,Padrão
2,2.0,2,4,BB,0,H,34,2015,July,5,Online TA,0,0,0,163.0,0,Canceled,Luxo
2,0.0,2,5,HB,0,D,93,2015,July,5,Offline TA/TO,0,0,0,105.5,0,Canceled,Premium
2,2.0,2,5,HB,1,C,97,2015,July,5,Direct,0,0,0,164.2,1,Check-Out,Luxo
2,0.0,2,5,BB,0,F,29,2015,July,5,Online TA,0,0,0,97.29,1,Check-Out,Padrão
2,0.0,2,5,HB,0,A,101,2015,July,5,Online TA,0,0,0,114.0,1,Canceled,Premium
2,0.0,2,5,BB,0,E,27,2015,July,5,Offline TA/TO,0,0,0,98.4,0,Check-Out,Padrão
2,2.0,4,5,BB,1,H,8,2015,July,5,Online TA,0,0,0,175.0,1,Check-Out,Luxo
2,0.0,4,6,BB,1,D,82,2015,July,5,Offline TA/TO,0,0,0,63.6,2,Check-Out,Econômica
3,0.0,4,6,BB,1,D,94,2015,July,5,Direct,0,0,0,124.45,1,Check-Out,Premium
2,2.0,1,4,BB,0,G,115,2015,July,6,Online TA,0,0,0,167.0,0,Check-Out,Luxo
2,0.0,1,3,BB,0,A,111,2015,July,6,Online TA,0,0,0,123.0,2,Check-Out,Premium
2,0.0,1,3,BB,1,G,51,2015,July,6,Online TA,0,0,0,117.81,2,Check-Out,Premium
3,0.0,1,3,BB,0,D,94,2015,July,6,Offline TA/TO,0,0,0,171.32,1,Check-Out,Luxo
2,2.0,1,3,HB,1,G,81,2015,July,6,Direct,0,0,0,210.0,0,Check-Out,Luxo
2,0.0,1,3,BB,0,D,84,2015,July,6,Online TA,0,0,0,97.0,2,Check-Out,Padrão
3,0.0,1,3,BB,0,G,51,2015,July,6,Online TA,0,0,0,117.81,2,Check-Out,Premium
2,1.0,1,0,BB,0,A,2,2015,July,6,Direct,0,0,0,131.0,0,Check-Out,Premium
2,0.0,1,1,BB,0,A,7,2015,July,6,Online TA,0,0,0,98.0,2,Check-Out,Padrão
2,0.0,1,1,BB,1,D,98,2015,July,6,Online TA,0,0,0,87.3,1,Check-Out,Padrão
2,0.0,1,2,BB,0,D,95,2015,July,6,Online TA,0,0,0,97.0,1,Check-Out,Padrão
2,0.0,1,3,HB,0,E,48,2015,July,6,Online TA,0,0,0,167.0,0,Canceled,Luxo
2,0.0,1,3,HB,0,A,66,2015,July,6,Offline TA/TO,0,0,0,91.5,0,Check-Out,Padrão
2,0.0,1,3,BB,0,A,104,2015,July,6,Online TA,0,0,0,73.8,1,Check-Out,Econômica
2,0.0,1,4,BB,0,E,28,2015,July,6,Online TA,0,0,0,123.0,0,Check-Out,Premium
2,0.0,1,4,HB,1,F,34,2015,July,6,Direct,0,0,0,175.0,0,Check-Out,Luxo
2,0.0,1,5,HB,1,A,98,2015,July,6,Online TA,0,0,0,117.8,1,Check-Out,Premium
2,0.0,1,5,BB,0,E,104,2015,July,6,Online TA,0,0,0,117.63,0,Check-Out,Premium
2,2.0,2,5,HB,0,G,68,2015,July,6,Online TA,0,0,0,185.0,0,Check-Out,Luxo
1,0.0,2,5,HB,0,A,86,2015,July,6,Offline TA/TO,0,0,0,71.0,1,Canceled,Econômica
2,0.0,2,5,BB,0,A,258,2015,July,6,Offline TA/TO,0,0,0,47.25,0,Check-Out,Econômica
2,0.0,3,5,HB,0,A,111,2015,July,6,Online TA,0,0,0,151.0,1,Check-Out,Luxo
2,0.0,2,5,BB,0,D,65,2015,July,6,Offline TA/TO,0,0,0,83.5,0,Check-Out,Padrão
2,0.0,0,2,BB,0,A,67,2015,July,7,Online TA,0,0,0,73.8,1,Canceled,Econômica
2,0.0,0,3,BB,1,A,55,2015,July,7,Online TA,0,0,0,82.0,2,Check-Out,Padrão
2,1.0,0,3,HB,0,F,21,2015,July,7,Direct,0,0,0,185.5,1,Check-Out,Luxo
1,0.0,0,1,BB,0,A,0,2015,July,7,Online TA,0,0,0,109.8,3,Check-Out,Premium
3,0.0,0,1,HB,1,C,0,2015,July,7,Direct,0,0,0,195.0,0,Check-Out,Luxo
3,2.0,0,4,BB,0,H,8,2015,July,7,Online TA,0,0,0,193.0,1,Check-Out,Luxo
2,0.0,0,4,BB,0,D,66,2015,July,7,Online TA,0,0,0,97.0,2,Check-Out,Padrão
3,0.0,0,4,HB,0,D,88,2015,July,7,Offline TA/TO,0,0,0,150.0,1,Check-Out,Luxo
2,0.0,0,4,BB,0,A,0,2015,July,7,Direct,0,0,0,98.0,0,Check-Out,Padrão
2,0.0,0,5,HB,0,A,43,2015,July,7,Offline TA/TO,0,0,0,91.5,0,Canceled,Padrão
2,0.0,2,5,HB,0,E,88,2015,July,7,Online TA,0,0,0,139.0,2,Canceled,Luxo
2,0.0,2,5,BB,0,D,54,2015,July,7,Offline TA/TO,0,0,0,79.5,0,Check-Out,Padrão
2,0.0,2,5,BB,0,A,292,2015,July,7,Offline TA/TO,0,0,0,47.25,0,Canceled,Econômica
2,0.0,0,3,BB,0,E,68,2015,July,8,Online TA,0,0,0,107.0,1,Check-Out,Premium
2,0.0,0,4,BB,1,A,7,2015,July,8,Online TA,0,0,0,131.0,2,Check-Out,Premium
2,0.0,0,4,BB,1,A,1,2015,July,8,Online TA,0,0,0,131.0,1,Check-Out,Premium
2,0.0,0,4,BB,0,A,113,2015,July,8,Online TA,0,0,0,123.0,1,Canceled,Premium
2,0.0,0,4,BB,0,D,5,2015,July,8,Online TA,0,0,0,146.0,1,Check-Out,Luxo
2,0.0,0,4,BB,0,A,83,2015,July,8,Offline TA/TO,0,0,0,110.7,1,Check-Out,Premium
2,0.0,0,4,BB,0,A,105,2015,July,8,Online TA,0,0,0,73.8,1,Canceled,Econômica
1,0.0,0,1,BB,0,A,0,2015,July,8,Offline TA/TO,0,0,0,61.0,0,Check-Out,Econômica
2,0.0,0,1,BB,0,A,1,2015,July,8,Corporate,0,0,0,104.72,1,Canceled,Premium
2,0.0,0,2,BB,1,A,1,2015,July,8,Corporate,0,0,0,104.72,1,Check-Out,Premium
2,0.0,1,4,BB,0,A,102,2015,July,8,Direct,0,0,0,66.42,1,Canceled,Econômica
2,0.0,2,4,BB,1,E,113,2015,July,8,Direct,0,0,0,77.96,1,Check-Out,Padrão
2,1.0,2,5,HB,0,D,280,2015,July,8,Offline TA/TO,0,0,0,112.0,1,Canceled,Premium
2,0.0,2,5,BB,0,E,96,2015,July,8,Online TA,0,0,0,107.0,1,Check-Out,Premium
2,0.0,2,5,HB,0,E,33,2015,July,8,Online TA,0,0,0,155.0,0,Check-Out,Luxo
3,0.0,2,6,BB,0,A,82,2015,July,8,Direct,0,0,0,112.0,1,Check-Out,Premium
2,2.0,0,1,BB,0,C,17,2015,July,9,Online TA,0,0,0,123.0,3,Check-Out,Premium
3,0.0,0,2,BB,1,A,68,2015,July,9,Direct,0,0,0,124.0,1,Check-Out,Premium
2,2.0,0,2,BB,1,H,12,2015,July,9,Direct,0,0,0,146.0,0,Check-Out,Luxo
2,0.0,0,3,BB,0,D,77,2015,July,9,Direct,0,0,0,97.0,0,Canceled,Padrão
2,2.0,0,3,BB,0,C,24,2015,July,9,Online TA,0,0,0,123.0,1,Canceled,Premium
2,2.0,0,3,BB,0,G,44,2015,July,9,Online TA,0,0,0,153.0,0,Canceled,Luxo
2,0.0,0,3,BB,0,A,78,2015,July,9,Online TA,0,0,0,82.0,2,Check-Out,Padrão
2,0.0,1,3,BB,0,A,17,2015,July,9,Online TA,0,0,0,105.08,0,Canceled,Premium
2,0.0,1,3,BB,0,A,103,2015,July,9,Online TA,0,0,0,65.42,0,Canceled,Econômica
1,0.0,1,3,BB,0,A,16,2015,July,9,Direct,0,0,0,98.0,1,Check-Out,Padrão
2,0.0,2,3,BB,1,A,14,2015,July,9,Online TA,0,0,0,75.46,1,Check-Out,Padrão
2,0.0,2,3,BB,0,A,77,2015,July,9,Offline TA/TO,0,0,0,65.5,0,Check-Out,Econômica
2,0.0,2,5,BB,0,A,90,2015,July,9,Offline TA/TO,0,0,0,90.95,0,Check-Out,Padrão
2,0.0,2,5,BB,0,A,90,2015,July,9,Offline TA/TO,0,0,0,93.6,0,Check-Out,Padrão
2,0.0,2,5,BB,0,E,90,2015,July,9,Offline TA/TO,0,0,0,119.25,0,Check-Out,Premium
2,0.0,2,5,HB,0,A,249,2015,July,9,Online TA,0,0,0,112.0,1,Check-Out,Premium
2,0.0,2,6,HB,0,A,69,2015,July,9,Online TA,0,0,0,118.13,2,Canceled,Premium
2,0.0,0,1,BB,0,A,10,2015,July,10,Direct,0,0,0,131.0,0,Check-Out,Premium
2,0.0,0,2,BB,0,A,22,2015,July,10,Online TA,0,0,0,88.2,0,Check-Out,Padrão
2,0.0,0,2,BB,0,A,91,2015,July,10,Online TA,0,0,0,73.8,1,Check-Out,Econômica
2,0.0,0,2,BB,0,A,23,2015,July,10,Online TA,0,0,0,98.0,0,Check-Out,Padrão
2,0.0,0,2,BB,0,A,11,2015,July,10,Online TA,0,0,0,110.5,1,Check-Out,Premium
2,0.0,0,2,BB,0,A,3,2015,July,10,Online TA,0,0,0,131.0,1,Check-Out,Premium
2,1.0,0,2,HB,1,G,13,2015,July,10,Online TA,0,0,0,185.0,1,Check-Out,Luxo
2,0.0,0,2,BB,0,D,108,2015,July,10,Online TA,0,0,0,87.3,2,Check-Out,Padrão
2,0.0,1,2,BB,0,C,37,2015,July,10,Online TA,0,0,0,120.0,1,Check-Out,Premium
2,0.0,1,2,BB,0,A,21,2015,July,10,Direct,0,0,0,98.0,1,Check-Out,Padrão
2,0.0,1,2,BB,0,E,106,2015,July,10,Online TA,0,0,0,96.3,2,Check-Out,Padrão
2,0.0,2,2,FB,0,F,30,2015,July,10,Direct,0,0,0,197.0,1,Check-Out,Luxo
2,0.0,2,3,BB,0,E,51,2015,July,10,Online TA,0,0,0,123.0,0,Canceled,Premium
2,0.0,2,3,BB,0,A,79,2015,July,10,Online TA,0,0,0,82.0,2,Check-Out,Padrão
2,0.0,2,3,HB,1,C,21,2015,July,10,Direct,0,0,0,165.0,3,Check-Out,Luxo
2,2.0,2,3,BB,0,G,35,2015,July,10,Online TA,0,0,0,149.4,0,Check-Out,Luxo
2,0.0,2,5,HB,1,A,78,2015,July,10,Online TA,0,0,0,106.84,2,Check-Out,Premium
2,0.0,2,5,HB,1,D,31,2015,July,10,Direct,0,0,0,161.0,1,Check-Out,Luxo
2,0.0,2,5,HB,0,D,78,2015,July,10,Online TA,0,0,0,134.43,2,Check-Out,Premium
2,0.0,2,5,HB,1,E,78,2015,July,10,Online TA,0,0,0,144.43,2,Check-Out,Luxo
1,0.0,2,5,HB,0,E,44,2015,July,10,Offline TA/TO,0,0,0,152.0,0,Check-Out,Luxo
2,1.0,2,5,HB,0,F,34,2015,July,10,Online TA,0,0,0,125.54,3,Check-Out,Premium
2,1.0,2,5,FB,0,C,87,2015,July,10,Offline TA/TO,0,0,0,133.83,2,Check-Out,Premium
3,1.0,2,6,BB,1,C,11,2015,July,10,Direct,0,0,0,159.75,0,Check-Out,Luxo
2,1.0,2,5,HB,0,D,34,2015,July,10,Online TA,0,0,0,95.27,3,Check-Out,Padrão
2,0.0,2,5,HB,0,F,34,2015,July,10,Online TA,0,0,0,108.83,1,Check-Out,Premium
2,1.0,2,3,HB,0,A,100,2015,July,11,Offline TA/TO,0,0,0,153.96,0,Canceled,Luxo
2,0.0,2,3,BB,0,A,44,2015,July,11,Online TA,0,0,0,120.6,0,Check-Out,Premium
2,0.0,2,4,BB,0,E,36,2015,July,11,Online TA,0,0,0,126.67,0,Canceled,Premium
3,0.0,2,4,HB,0,D,117,2015,July,11,Offline TA/TO,0,0,0,144.4,1,Check-Out,Luxo
2,0.0,2,4,BB,1,A,70,2015,July,11,Online TA,0,0,0,99.5,2,Check-Out,Premium
2,0.0,2,5,BB,0,E,110,2015,July,11,Direct,0,0,0,139.4,1,Check-Out,Luxo
2,0.0,2,5,BB,0,A,109,2015,July,11,Online TA,0,0,0,73.8,1,Canceled,Econômica
2,0.0,2,2,BB,0,E,33,2015,July,11,Online TA,0,0,0,89.97,1,Check-Out,Padrão
2,0.0,2,2,BB,0,E,33,2015,July,11,Online TA,0,0,0,123.0,0,Check-Out,Premium
2,0.0,2,2,BB,0,E,33,2015,July,11,Online TA,0,0,0,123.0,0,Check-Out,Premium
1,0.0,0,1,BB,0,A,0,2015,July,11,Direct,0,0,0,123.0,0,Check-Out,Premium
2,0.0,0,1,HB,0,A,0,2015,July,11,Online TA,0,0,0,144.9,1,Check-Out,Luxo
2,0.0,0,1,BB,0,G,0,2015,July,11,Direct,0,0,0,153.0,0,Check-Out,Luxo
2,0.0,0,1,BB,0,A,0,2015,July,11,Online TA,0,0,0,131.0,1,Check-Out,Premium
2,0.0,1,1,HB,1,A,84,2015,July,11,Corporate,0,0,0,100.0,0,Check-Out,Premium
2,0.0,1,1,BB,0,A,71,2015,July,11,Offline TA/TO,0,0,0,65.5,0,Check-Out,Econômica
2,0.0,1,1,BB,0,C,16,2015,July,11,Online TA,0,0,0,123.0,1,Check-Out,Premium
2,0.0,2,1,BB,0,E,54,2015,July,11,Online TA,0,0,0,123.0,0,Check-Out,Premium
2,0.0,2,1,BB,0,A,8,2015,July,11,Online TA,0,0,0,131.0,0,Check-Out,Premium
2,0.0,2,5,BB,1,D,36,2015,July,11,Offline TA/TO,0,0,0,104.68,0,Check-Out,Premium
2,0.0,2,5,HB,0,A,40,2015,July,11,Online TA,0,0,0,166.0,0,Check-Out,Luxo
