,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
77998,City Hotel,0,3,2015,September,39,24,2,4,0,0.0,0,SC,ITA,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1.0,,0,Transient-Party,0.0,0,0,Check-Out,2015-09-30
78257,City Hotel,0,1,2015,October,40,3,2,2,0,0.0,0,SC,PRT,Groups,TA/TO,0,0,0,A,K,1,No Deposit,1.0,,0,Transient-Party,0.0,0,0,Check-Out,2015-10-07
78586,City Hotel,0,0,2015,November,49,30,1,2,0,0.0,0,SC,PRT,Corporate,Corporate,1,0,1,A,A,2,No Deposit,,40.0,0,Transient,6.0,0,0,Check-Out,2015-12-03
78672,City Hotel,0,0,2015,October,42,14,0,1,0,0.0,0,BB,PRT,Direct,Corporate,1,0,0,A,B,1,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2015-10-15
79077,City Hotel,0,64,2015,October,42,16,2,3,0,0.0,0,SC,FRA,Offline TA/TO,TA/TO,0,0,0,A,K,2,No Deposit,50.0,,0,Transient-Party,0.0,0,0,Check-Out,2015-10-21
79807,City Hotel,1,244,2016,July,28,6,2,4,0,0.0,0,SC,PRT,Offline TA/TO,TA/TO,1,1,0,E,E,0,No Deposit,19.0,,0,Transient,0.0,0,0,Canceled,2015-11-05
80072,City Hotel,0,0,2015,November,46,11,0,0,0,0.0,0,SC,PRT,Direct,Direct,1,0,0,D,D,0,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2015-11-11
81481,City Hotel,0,4,2015,December,50,11,0,1,0,0.0,0,BB,PRT,Complementary,Direct,0,0,0,B,B,1,No Deposit,45.0,,0,Transient,0.0,0,1,Check-Out,2015-12-12
82264,City Hotel,0,0,2015,December,52,24,0,0,0,0.0,0,BB,FRA,Offline TA/TO,TA/TO,1,0,0,D,K,1,No Deposit,28.0,,0,Transient,0.0,0,0,Check-Out,2015-12-24
82265,City Hotel,0,0,2015,December,52,24,0,0,0,0.0,0,BB,FRA,Offline TA/TO,TA/TO,1,0,0,D,K,0,No Deposit,28.0,,0,Transient,0.0,0,1,Check-Out,2015-12-24
82266,City Hotel,0,0,2015,December,52,24,0,0,0,0.0,0,BB,ESP,Offline TA/TO,TA/TO,1,0,0,A,K,0,No Deposit,28.0,,0,Contract,0.0,0,0,Check-Out,2015-12-24
82267,City Hotel,0,0,2015,December,52,24,0,0,0,0.0,0,BB,FRA,Offline TA/TO,TA/TO,1,0,0,D,K,0,No Deposit,28.0,,0,Transient,0.0,0,0,Check-Out,2015-12-24
83506,City Hotel,0,0,2016,February,6,4,0,1,0,0.0,0,BB,PRT,Complementary,Direct,0,0,0,D,D,0,No Deposit,45.0,,0,Transient,0.0,0,0,Check-Out,2016-02-05
83810,City Hotel,0,0,2016,February,7,11,0,2,0,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,D,4,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2016-02-13
84198,City Hotel,0,19,2016,February,8,14,3,5,0,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,9.0,,0,Transient,0.0,0,1,Check-Out,2016-02-22
85490,City Hotel,0,0,2016,March,12,16,0,0,0,0.0,0,BB,PRT,Direct,Direct,1,0,0,A,A,0,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2016-03-16
85491,City Hotel,0,0,2016,March,12,16,0,0,0,0.0,0,SC,DEU,Online TA,TA/TO,1,0,0,D,K,0,No Deposit,,,0,Transient,0.0,0,1,Check-Out,2016-03-16
85539,City Hotel,0,0,2016,March,11,12,2,3,0,0.0,0,SC,SVN,Online TA,TA/TO,0,0,0,A,K,1,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2016-03-17
85931,City Hotel,0,9,2016,March,12,16,2,6,0,0.0,0,SC,NLD,Groups,TA/TO,0,0,0,A,K,2,No Deposit,29.0,,0,Transient,3.38,1,0,Check-Out,2016-03-24
88017,City Hotel,0,16,2016,March,11,11,14,35,0,0.0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,K,21,No Deposit,,215.0,0,Transient-Party,0.0,0,0,Check-Out,2016-04-29
88327,City Hotel,0,5,2016,April,18,27,2,5,0,0.0,0,SC,ESP,Direct,Direct,0,0,0,A,K,4,No Deposit,,,0,Transient-Party,0.0,0,0,Check-Out,2016-05-04
88328,City Hotel,0,30,2016,May,19,1,2,1,0,0.0,0,SC,PRT,Offline TA/TO,TA/TO,0,0,0,A,K,3,No Deposit,52.0,,0,Transient,0.0,0,0,Check-Out,2016-05-04
88439,City Hotel,0,52,2016,April,18,30,2,4,0,0.0,0,SC,SWE,Direct,Direct,0,0,0,E,K,2,No Deposit,14.0,,0,Transient-Party,136.46,0,1,Check-Out,2016-05-06
89359,City Hotel,0,0,2016,December,52,21,0,0,0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,2,6,A,A,1,No Deposit,94.0,,0,Transient,0.0,0,2,Check-Out,2016-12-21
89360,City Hotel,0,0,2016,December,52,21,0,0,0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,2,6,A,A,0,No Deposit,94.0,,0,Transient,0.0,0,2,Check-Out,2016-12-21
90930,City Hotel,0,107,2016,June,23,3,3,7,0,0.0,0,SC,FRA,Groups,TA/TO,0,0,0,A,K,3,No Deposit,37.0,,0,Transient-Party,0.0,0,0,Check-Out,2016-06-13
91428,City Hotel,0,0,2016,June,26,21,0,0,0,0.0,0,BB,PRT,Online TA,TA/TO,1,0,0,D,C,1,No Deposit,9.0,,0,Transient,0.0,0,1,Check-Out,2016-06-21
92814,City Hotel,0,108,2016,July,28,5,2,5,0,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,K,0,No Deposit,89.0,,0,Transient,77.53,0,0,Check-Out,2016-07-12
92962,City Hotel,0,55,2017,March,10,5,2,0,0,0.0,0,SC,PRT,Corporate,Corporate,1,1,9,A,K,2,No Deposit,,40.0,0,Transient,1.0,1,0,Check-Out,2017-03-07
93204,City Hotel,0,159,2016,July,28,3,5,10,0,0.0,0,BB,FIN,Online TA,TA/TO,0,0,0,A,K,2,No Deposit,11.0,,0,Transient,0.0,0,1,Check-Out,2016-07-18
93320,City Hotel,0,0,2016,July,30,19,0,1,0,0.0,0,BB,SWE,Direct,Direct,0,0,0,G,B,2,No Deposit,14.0,,0,Transient,0.0,0,1,Check-Out,2016-07-20
93397,City Hotel,0,1,2016,July,30,20,0,1,0,0.0,0,SC,PRT,Direct,Direct,0,0,0,E,B,1,No Deposit,14.0,,0,Transient,0.0,0,0,Check-Out,2016-07-21
93753,City Hotel,0,0,2016,July,31,26,0,0,0,0.0,0,SC,PRT,Complementary,Direct,1,0,0,A,B,0,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2016-07-26
93754,City Hotel,0,0,2016,July,31,26,0,0,0,0.0,0,SC,PRT,Complementary,Direct,1,0,0,A,A,0,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2016-07-26
94769,City Hotel,0,4,2016,August,32,5,2,2,0,0.0,0,SC,RUS,Online TA,TA/TO,0,0,0,A,K,2,No Deposit,9.0,,0,Transient,69.5,0,2,Check-Out,2016-08-09
94821,City Hotel,0,1,2016,August,32,3,2,5,0,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,K,4,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2016-08-10
95544,City Hotel,0,88,2016,August,34,16,0,4,0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,K,5,No Deposit,9.0,,0,Transient,32.85,0,2,Check-Out,2016-08-20
96599,City Hotel,0,65,2016,August,36,31,1,4,0,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,K,1,No Deposit,52.0,,0,Transient,0.0,0,0,Check-Out,2016-09-05
96648,City Hotel,0,36,2016,August,35,27,3,6,0,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,K,2,No Deposit,9.0,,0,Transient,89.2,0,2,Check-Out,2016-09-05
96810,City Hotel,0,125,2016,August,35,25,4,10,0,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,K,4,No Deposit,,,0,Transient-Party,0.0,0,1,Check-Out,2016-09-08
98045,City Hotel,0,33,2016,September,39,20,0,4,0,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,K,5,No Deposit,,288.0,6,Transient-Party,0.0,0,0,Check-Out,2016-09-24
98046,City Hotel,0,42,2016,August,35,27,8,20,0,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,K,2,No Deposit,7.0,,0,Transient,0.0,0,1,Check-Out,2016-09-24
98492,City Hotel,0,1,2016,September,38,17,4,9,0,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,D,K,2,No Deposit,9.0,,0,Transient,16.92,0,1,Check-Out,2016-09-30
99260,City Hotel,0,15,2016,October,41,6,2,3,0,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,K,2,No Deposit,,314.0,0,Transient,0.0,0,0,Check-Out,2016-10-11
99338,City Hotel,0,338,2016,October,41,7,2,3,0,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,K,3,No Deposit,12.0,,68,Transient-Party,0.0,0,1,Check-Out,2016-10-12
99774,City Hotel,0,114,2016,October,42,12,1,4,0,0.0,0,BB,USA,Direct,Direct,0,0,0,D,D,1,No Deposit,14.0,,0,Transient,0.0,0,0,Check-Out,2016-10-17
99880,City Hotel,0,165,2016,October,44,28,0,1,0,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,1,A,K,3,No Deposit,21.0,,92,Transient-Party,0.0,0,0,Check-Out,2016-10-29
100273,City Hotel,0,10,2016,October,42,14,4,7,0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,K,2,No Deposit,39.0,,0,Transient-Party,0.0,0,0,Check-Out,2016-10-25
100487,City Hotel,0,0,2016,October,44,28,0,0,0,0.0,0,SC,PRT,Online TA,TA/TO,1,0,0,A,K,0,No Deposit,9.0,,0,Transient,0.0,0,1,Check-Out,2016-10-28
100563,City Hotel,0,88,2016,October,41,7,6,16,0,0.0,0,SC,POL,Corporate,Corporate,0,0,0,A,K,7,No Deposit,193.0,,0,Transient-Party,0.0,0,1,Check-Out,2016-10-29
100780,City Hotel,0,0,2016,November,45,1,0,0,0,0.0,0,SC,PRT,Groups,TA/TO,1,0,0,A,K,1,No Deposit,37.0,,0,Transient,0.0,0,0,Check-Out,2016-11-01
101329,City Hotel,0,0,2016,November,46,11,0,0,0,0.0,0,SC,PRT,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,9.0,,0,Transient,0.0,0,1,Check-Out,2016-11-11
101399,City Hotel,0,57,2016,November,46,9,0,2,0,0.0,0,SC,SGP,Direct,Direct,0,0,0,A,K,0,No Deposit,14.0,,0,Transient,165.38,0,2,Check-Out,2016-11-11
101401,City Hotel,0,74,2016,November,46,7,1,3,0,0.0,0,SC,LUX,Online TA,TA/TO,0,0,0,A,K,3,No Deposit,9.0,,0,Transient,168.3,0,1,Check-Out,2016-11-11
101794,City Hotel,0,140,2016,September,39,22,16,41,0,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,K,12,No Deposit,9.0,,0,Transient,8.34,0,2,Check-Out,2016-11-18
101804,City Hotel,0,0,2016,November,47,19,0,0,0,0.0,0,BB,PRT,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,9.0,,0,Transient,0.0,0,1,Check-Out,2016-11-19
101957,City Hotel,0,37,2016,November,47,17,1,3,0,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,K,1,No Deposit,9.0,,0,Transient,97.4,1,1,Check-Out,2016-11-21
102008,City Hotel,0,1,2016,November,47,18,1,2,0,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,K,1,No Deposit,9.0,,0,Transient,92.67,0,2,Check-Out,2016-11-21
102054,City Hotel,0,0,2016,November,48,23,0,0,0,0.0,0,BB,PRT,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,9.0,,0,Transient,0.0,0,1,Check-Out,2016-11-23
102055,City Hotel,0,0,2016,November,48,23,0,0,0,0.0,0,BB,PRT,Corporate,Corporate,1,0,0,A,A,0,No Deposit,,40.0,0,Transient,0.0,0,0,Check-Out,2016-11-23
102129,City Hotel,0,216,2016,November,48,22,0,1,0,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,2,No Deposit,,233.0,0,Transient,0.0,0,0,Check-Out,2016-11-23
102150,City Hotel,0,14,2016,November,47,18,2,3,0,0.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,A,K,3,No Deposit,25.0,,0,Transient-Party,0.0,0,0,Check-Out,2016-11-23
102155,City Hotel,0,0,2016,November,48,24,0,0,0,0.0,0,BB,PRT,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,9.0,,0,Transient,0.0,0,2,Check-Out,2016-11-24
102157,City Hotel,0,0,2016,November,48,24,0,0,0,0.0,0,HB,PRT,Offline TA/TO,TA/TO,1,0,0,A,D,0,No Deposit,28.0,,0,Transient,0.0,0,0,Check-Out,2016-11-24
102185,City Hotel,0,19,2016,November,48,26,4,7,0,0.0,0,SC,USA,Online TA,TA/TO,0,0,1,A,K,4,No Deposit,11.0,,0,Group,6.4,0,0,Check-Out,2016-12-07
102258,City Hotel,0,0,2016,November,48,26,0,0,0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,0,A,D,0,No Deposit,28.0,,0,Transient,0.0,0,0,Check-Out,2016-11-26
102296,City Hotel,0,0,2016,November,48,26,0,0,0,0.0,0,SC,PRT,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,9.0,,0,Transient,0.0,0,1,Check-Out,2016-11-26
102319,City Hotel,0,2,2016,November,47,16,2,8,0,0.0,0,SC,ITA,Offline TA/TO,TA/TO,0,0,0,A,K,6,No Deposit,371.0,,0,Transient-Party,0.0,0,0,Check-Out,2016-11-26
102611,City Hotel,0,0,2016,December,49,3,0,0,0,0.0,0,BB,PRT,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,9.0,,0,Transient,0.0,0,0,Check-Out,2016-12-03
102710,City Hotel,0,0,2016,December,50,5,0,0,0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,0,A,K,0,No Deposit,27.0,,0,Transient,0.0,0,0,Check-Out,2016-12-05
102805,City Hotel,0,0,2016,December,50,6,0,0,0,0.0,0,SC,PRT,Online TA,TA/TO,1,0,0,A,K,0,No Deposit,9.0,,0,Transient,0.0,0,1,Check-Out,2016-12-06
102812,City Hotel,0,0,2016,December,50,7,0,0,0,0.0,0,BB,PRT,Online TA,TA/TO,1,0,0,A,K,0,No Deposit,7.0,,0,Transient,0.0,0,1,Check-Out,2016-12-07
103264,City Hotel,0,0,2016,December,52,18,0,0,0,0.0,0,BB,PRT,Online TA,TA/TO,1,0,0,D,K,1,No Deposit,7.0,,0,Transient,0.0,0,1,Check-Out,2016-12-18
103317,City Hotel,0,0,2016,December,52,20,0,0,0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,0,A,D,0,No Deposit,28.0,,0,Transient,0.0,0,0,Check-Out,2016-12-20
103714,City Hotel,0,255,2016,December,53,27,0,3,0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,K,3,No Deposit,79.0,,0,Transient,20.88,0,0,Check-Out,2016-12-30
103961,City Hotel,0,0,2017,January,1,3,0,0,0,0.0,0,SC,PRT,Online TA,TA/TO,1,0,0,A,K,0,No Deposit,9.0,,0,Transient,0.0,0,0,Check-Out,2017-01-03
104145,City Hotel,0,177,2016,December,53,30,2,5,0,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,K,2,No Deposit,,,0,Transient,1.29,0,2,Check-Out,2017-01-06
104231,City Hotel,0,0,2017,January,2,9,0,0,0,0.0,0,SC,PRT,Online TA,TA/TO,1,0,0,A,K,0,No Deposit,9.0,,0,Transient,0.0,0,2,Check-Out,2017-01-09
104516,City Hotel,0,125,2017,January,1,1,4,10,0,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,D,K,2,No Deposit,9.0,,0,Transient,27.69,0,2,Check-Out,2017-01-15
105106,City Hotel,0,0,2017,January,5,30,0,0,0,0.0,0,SC,PRT,Online TA,TA/TO,1,0,0,A,K,0,No Deposit,9.0,,0,Transient,0.0,0,0,Check-Out,2017-01-30
105185,City Hotel,0,5,2017,February,5,2,0,0,0,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,0.0,0,3,Check-Out,2017-02-02
105630,City Hotel,0,7,2017,February,7,13,0,0,0,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,7.0,,0,Transient,0.0,0,1,Check-Out,2017-02-13
105726,City Hotel,0,0,2017,February,7,15,0,0,0,0.0,0,SC,PRT,Online TA,TA/TO,1,0,0,A,K,0,No Deposit,7.0,,0,Transient,0.0,0,1,Check-Out,2017-02-15
106556,City Hotel,0,0,2017,February,9,27,0,0,0,0.0,0,BB,PRT,Online TA,TA/TO,1,0,0,A,K,0,No Deposit,85.0,,0,Transient,0.0,0,0,Check-Out,2017-02-27
106561,City Hotel,0,11,2017,January,3,15,13,30,0,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,K,14,No Deposit,9.0,,0,Transient,0.0,0,0,Check-Out,2017-02-27
106562,City Hotel,0,1,2017,February,7,12,5,10,0,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,D,K,8,No Deposit,9.0,,0,Transient,35.81,0,0,Check-Out,2017-02-27
106570,City Hotel,0,0,2017,February,9,27,0,0,0,0.0,0,BB,PRT,Online TA,TA/TO,1,0,0,A,K,0,No Deposit,9.0,,0,Transient,0.0,0,3,Check-Out,2017-02-27
106647,City Hotel,0,0,2017,March,9,1,0,0,0,0.0,0,SC,PRT,Online TA,TA/TO,1,0,0,A,K,0,No Deposit,9.0,,0,Transient,0.0,0,2,Check-Out,2017-03-01
106706,City Hotel,0,0,2017,March,9,1,0,0,0,0.0,0,BB,PRT,Online TA,TA/TO,1,0,0,A,K,0,No Deposit,9.0,,0,Transient,0.0,0,2,Check-Out,2017-03-01
106833,City Hotel,0,50,2017,March,9,1,0,3,0,0.0,0,BB,IRN,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,86.0,,0,Transient,86.4,0,1,Check-Out,2017-03-04
